Date,Bajaj Open,Bajaj High,Bajaj Low,Bajaj Close,Bajaj Adj Close,Bajaj Volume
9/23/2021,7863.600098,7999,7804.649902,7899.049805,7870.393066,2109147
9/22/2021,7850,7895,7771,7793.649902,7765.375488,1500541
9/21/2021,7481.149902,7847.100098,7401,7813.850098,7785.502441,1993133
9/20/2021,7360,7581,7320.75,7442.450195,7415.449707,1083806
9/17/2021,7445.5,7679.950195,7360,7428.799805,7401.849121,3474969
9/16/2021,7445,7445,7330.5,7411.5,7384.611816,577129
9/15/2021,7445,7480,7380,7414.149902,7387.251953,657283
9/14/2021,7480,7530,7408,7417.549805,7390.639648,719258
9/13/2021,7430.649902,7495,7352,7445.549805,7418.538086,802565
9/9/2021,7430,7460,7380,7430.649902,7403.692383,700436
9/8/2021,7457,7514,7411.049805,7463.200195,7436.124512,859256
9/7/2021,7528.899902,7566.25,7407.200195,7457.299805,7430.245605,836013
9/6/2021,7550,7615,7485.100098,7506.350098,7479.117676,897071
9/3/2021,7500,7555,7461.75,7523.399902,7496.105957,880247
9/2/2021,7500,7586.399902,7445.049805,7498.450195,7471.246582,1183378
9/1/2021,7525,7674.5,7483.350098,7519.600098,7492.319824,2227789
8/31/2021,7160,7598.799805,7130,7524.5,7497.20166,2946438
8/30/2021,6995.950195,7197,6980,7165.5,7139.504395,1504382
8/27/2021,6950,7024.350098,6872,6966.600098,6941.326172,935906
8/26/2021,6900,6993.25,6855,6931.950195,6906.801758,1234588
8/25/2021,7005,7054,6921,6944.950195,6919.754395,1509667
8/24/2021,6775,7049,6727.950195,6980.100098,6954.776855,2622990
8/23/2021,6740,6819.5,6697,6752.200195,6727.704102,1738340
8/20/2021,6471.950195,6732.700195,6455.649902,6661.100098,6636.934082,2164732
8/18/2021,6434,6640,6406.049805,6544.100098,6520.358887,2153730
8/17/2021,6409.950195,6436.850098,6305,6410.100098,6386.844727,1602776
8/16/2021,6149,6395,6103.850098,6377.149902,6354.01416,1423335
8/13/2021,6210,6228.850098,6131,6156.549805,6134.214355,667932
8/12/2021,6181,6254.899902,6151.25,6199.5,6177.008789,794602
8/11/2021,6176.100098,6199.950195,6057,6167.799805,6145.423828,791929
8/10/2021,6225,6248.450195,6142.049805,6170.100098,6147.71582,731009
